source,target
132646210,8077952
132646210,30339571
132646210,810893744593584128
810893744593584128,132646210
132646210,61302699
132646210,14657345
14657345,132646210
27375578,132646210
132646210,173431194
173431194,132646210
132646210,91367103
132646210,14978945
14978945,132646210
132646210,46496916
856684314,132646210
132646210,10313732
972987874613366784,132646210
132646210,25134469
25134469,132646210
2613410444,132646210
132646210,14553715
26092949,132646210
1494913634,132646210
132646210,29735775
132646210,2303160649
132646210,891731882
132646210,59263220
132646210,90626911
90626911,132646210
132646210,167169119
132646210,22514268
132646210,127894322
127894322,132646210
132646210,305474242
305474242,132646210
132646210,33861957
132646210,3275322876
132646210,33970089
33970089,132646210
132646210,39321347
132646210,372830899
1168926603855958017,132646210
132646210,1214864022572425217
1214864022572425217,132646210
563947963,132646210
132646210,114045446
132646210,25624456
25624456,132646210
132646210,344956335
485447824,132646210
809848752,132646210
12414242,132646210
132646210,91440853
515192228,132646210
132646210,45412709
45412709,132646210
132646210,391247062
391247062,132646210
132646210,1685766865
1685766865,132646210
132646210,121709074
121709074,132646210
2874803443,132646210
132646210,22597445
132646210,56318966
132646210,955599008
2215006026,132646210
700999301514686464,132646210
132646210,605012771
2960317030,132646210
1238826270,132646210
132646210,4833032980
4833032980,132646210
132646210,597499972
132646210,60959947
60959947,132646210
132646210,23055193
23055193,132646210
4897300665,132646210
132646210,81381560
132646210,402143587
132646210,245907225
245907225,132646210
1930184042,132646210
132646210,204297410
942684527754989568,132646210
514667085,132646210
132646210,1054280867512705025
1054280867512705025,132646210
132646210,4874161629
4874161629,132646210
132646210,635986661
132646210,299807081
299807081,132646210
132646210,553436328
1155634482629791746,132646210
132646210,266028681
132646210,224209816
224209816,132646210
151208743,132646210
132646210,313444531
132646210,327122348
132646210,2540678306
132646210,46131106
46131106,132646210
132646210,93494670
132646210,146195370
146195370,132646210
132646210,19204539
19204539,132646210
1622761998,132646210
561277962,132646210
132646210,84560252
84560252,132646210
132646210,162124540
774076183461892096,132646210
1166221754,132646210
132646210,89774258
132646210,75525450
75525450,132646210
132646210,2998896042
257691637,132646210
95630269,132646210
132646210,243479125
606214834,132646210
132646210,393652166
108989193,132646210
11069462,132646210
1251034648492138498,132646210
37069005,132646210
132646210,1060157776477982721
22132438,132646210
132646210,608052226
608052226,132646210
132646210,1072910977
1072910977,132646210
1605951265,132646210
132646210,1290762290224984064
132646210,2383802810
1556357336,132646210
132646210,596203049
202740551,132646210
132646210,396680992
396680992,132646210
132646210,934851466082357249
934851466082357249,132646210
132646210,2713275441
132646210,301709965
301709965,132646210
14494523,132646210
132646210,828625466
828625466,132646210
743908703863083008,132646210
132646210,7466492
132646210,1055893919597133824
132646210,821666958680719361
821666958680719361,132646210
132646210,92071137
92071137,132646210
132646210,1434631356
103835763,132646210
3946229836,132646210
132646210,17053944
132646210,839149376643686401
839149376643686401,132646210
132646210,3036907250
3036907250,132646210
132646210,26711278
26711278,132646210
289284899,132646210
777648349,132646210
132646210,6844292
132646210,70819203
132646210,278482863
132646210,99473901
132646210,23761309
23761309,132646210
885944485615738881,132646210
774324193928351744,132646210
789107706397196288,132646210
34698700,132646210
132646210,185263153
185263153,132646210
132646210,1123336792021897216
998279534947586048,132646210
132646210,124319949
124319949,132646210
132646210,9316452
132646210,1081076050061213697
1081076050061213697,132646210
327301533,132646210
132646210,55517828
2386023224,132646210
11649702,132646210
132646210,720389270335135745
101818541,132646210
132646210,925565433679298560
925565433679298560,132646210
132646210,1468634743
1468634743,132646210
871920132641173504,132646210
132646210,468825579
132646210,58880930
58880930,132646210
191728278,132646210
132646210,435462176
132646210,2166992210
132646210,317727341
132646210,1855871
1855871,132646210
14294701,132646210
950072183031771136,132646210
132646210,44217911
1002193231,132646210
132646210,1379105228
1379105228,132646210
132646210,16387111
16387111,132646210
370597692,132646210
951844723,132646210
132646210,984135577208373249
132646210,3482836634
132646210,802182440
802182440,132646210
2685989162,132646210
132646210,195525587
195525587,132646210
132646210,40389352
40389352,132646210
132646210,1168865024674357248
1168865024674357248,132646210
1557796237,132646210
132646210,20640711
20640711,132646210
1553685114,132646210
132646210,1189744336415723520
1267637312,132646210
312131328,132646210
132646210,41974909
41974909,132646210
132646210,20621579
132646210,43652382
132646210,257618993
827392886,132646210
20225119,132646210
6015842,132646210
132646210,735447938214678529
1171878193114025987,132646210
4025609913,132646210
132646210,93781753
93781753,132646210
132646210,838601156737654784
132646210,44106240
132646210,45794386
45794386,132646210
132646210,3892710581
3892710581,132646210
132646210,116897811
132646210,814980524200566784
814980524200566784,132646210
1014974716359081988,132646210
12160482,132646210
132646210,427431943
427431943,132646210
2522143308,132646210
132646210,409890910
220378862,132646210
2190723061,132646210
132646210,338989477
338989477,132646210
132646210,3916694415
3916694415,132646210
1251108504653361152,132646210
132646210,1909219404
132646210,312121622
132646210,1183933523129970689
1183933523129970689,132646210
175011974,132646210
132646210,18417153
18417153,132646210
132646210,429259920
429259920,132646210
132646210,136756365
114146587,132646210
132646210,240867778
132646210,3235806942
132646210,241167877
241167877,132646210
2252260178,132646210
132646210,99023044
1120424520773505028,132646210
132646210,47978543
47978543,132646210
132646210,18855622
18855622,132646210
4196200462,132646210
2209003450,132646210
1690763647,132646210
132646210,911297187664949248
132646210,38140504
132646210,2608840453
2608840453,132646210
132646210,15166546
132646210,430570985
430570985,132646210
890413838578966528,132646210
330917707,132646210
132646210,1038834447540531202
132646210,333597222
4829277184,132646210
132646210,16946380
8260242,132646210
132646210,2188930908
132646210,271370579
271370579,132646210
132646210,115763683
132646210,50257296
50257296,132646210
132646210,229601276
229601276,132646210
423567471,132646210
132646210,72781449
132646210,126718539
126718539,132646210
132646210,20167623
132646210,220139885
822405576504344576,132646210
