source,target
19659370,17712257
19659370,2399290873
19659370,1643302016
19659370,2218900633
815628453613621248,19659370
972984764,19659370
606265290,19659370
19659370,977585064
977585064,19659370
19659370,946028606
19659370,1014561
1014561,19659370
19659370,16579738
16579738,19659370
19659370,450842550
450842550,19659370
793688995918024704,19659370
19659370,774575
774575,19659370
19659370,3102522680
3102522680,19659370
19659370,3565816992
19659370,700831074
700831074,19659370
53250831,19659370
30420908,19659370
19659370,21133730
21133730,19659370
320568816,19659370
19659370,14369971
252411935,19659370
19659370,22398002
47605273,19659370
19659370,544737616
544737616,19659370
915721853833900032,19659370
19659370,126323494
126323494,19659370
19659370,10383162
19659370,870968012
19659370,78969930
78969930,19659370
19659370,2711212681
801372548940398593,19659370
19659370,8143682
19659370,8139122
2397162947,19659370
138562224,19659370
19659370,966411199649808386
19659370,18033550
19659370,939091
19659370,2475224005
2475224005,19659370
19659370,477030336
477030336,19659370
19659370,43583452
43583452,19659370
19659370,13982132
19659370,183575679
19659370,63859619
464868829,19659370
3364147025,19659370
249661913,19659370
19659370,277298681
277298681,19659370
19659370,16549460
19659370,211916935
211916935,19659370
19659370,1195040516318093312
19659370,19659141
1049203448783278080,19659370
949493208702099456,19659370
352650313,19659370
2895714597,19659370
607311335,19659370
19659370,3207393315
2962250933,19659370
19659370,15455450
15455450,19659370
19659370,2190533245
2190533245,19659370
19659370,582161546
4208606734,19659370
19659370,111258447
821769650211930112,19659370
19659370,49793
19659370,3158689771
19659370,17514022
19659370,59900894
19659370,507704346
19659370,17949156
19659370,71905822
19659370,11017332
19659370,14757518
14757518,19659370
19659370,4398626122
91523851,19659370
19659370,20058825
19659370,2329921
19659370,2549047974
933679231220850688,19659370
19659370,19677430
19677430,19659370
1182908622113660929,19659370
10752242,19659370
19659370,14895163
19659370,1339637532
1339637532,19659370
19659370,2165646554
2165646554,19659370
19659370,15002894
19659370,7111232
19659370,772574162
801934486023782400,19659370
51934480,19659370
19659370,197362628
197362628,19659370
19659370,3300677471
19659370,45303184
19659370,1710656606
2831695553,19659370
19659370,19690273
19690273,19659370
19659370,9271782
9271782,19659370
19659370,78269677
78269677,19659370
19659370,2520999920
19659370,2411276060
19659370,14492532
19659370,36024756
1265795638551212032,19659370
790899349471498240,19659370
19659370,177751401
19659370,2601589496
2601589496,19659370
19659370,386277982
386277982,19659370
19659370,59504716
1898912480,19659370
835810382509928450,19659370
27818124,19659370
19659370,3415205164
19659370,16976496
19659370,398785862
398785862,19659370
2876226376,19659370
19659370,1111315973125169152
19659370,508906511
994886035086761984,19659370
19659370,2842558252
19659370,743917727820058626
743917727820058626,19659370
2932027868,19659370
19659370,375007888
19659370,1441673010
77436536,19659370
14285650,19659370
19659370,339654180
339654180,19659370
19659370,134061959
134061959,19659370
19659370,44973000
19659370,74419325
837051215339008000,19659370
1071412460,19659370
19659370,43006345
19659370,158659687
158659687,19659370
19659370,7295362
7295362,19659370
19659370,382158989
19659370,541117509
19659370,273561140
273561140,19659370
19659370,335829830
335829830,19659370
19659370,799830497065050112
19659370,5637652
1222193343737794560,19659370
17581976,19659370
19659370,17395999
868437872,19659370
19659370,836189288572325888
836189288572325888,19659370
19659370,66722583
66722583,19659370
19659370,332134740
332134740,19659370
804563319457660928,19659370
19659370,33423759
2427769760,19659370
1230692054092529664,19659370
19659370,920382882413244417
717348489215262724,19659370
19659370,3732176255
19659370,3304471
19659370,1490398796
2409117643,19659370
17465774,19659370
19659370,76336279
79721713,19659370
2492618120,19659370
19659370,22026924
19659370,488417933
488417933,19659370
19659370,260971421
19659370,25481069
25481069,19659370
758175168,19659370
2966094221,19659370
512191023,19659370
301178769,19659370
19659370,106856453
32856732,19659370
19659370,76966092
76966092,19659370
19659370,3005431923
3005431923,19659370
19659370,112202046
796877583455555584,19659370
19659370,3081585501
3081585501,19659370
19659370,1284042607
1284042607,19659370
19659370,264132382
264132382,19659370
19659370,2864356347
2864356347,19659370
19659370,59780450
19659370,891725802
19659370,19341622
19659370,268025507
268025507,19659370
19659370,2916305152
19659370,289222668
289222668,19659370
19659370,393675585
393675585,19659370
19659370,15225375
19659370,26607837
19659370,341000847
341000847,19659370
137394430,19659370
19659370,3128829965
19659370,158751132
158751132,19659370
2730017576,19659370
1077070220332740608,19659370
19659370,82095610
19659370,207770279
19659370,9533042
93903085,19659370
19659370,350164545
350164545,19659370
19659370,20436576
19659370,534290225
534290225,19659370
3309394037,19659370
2706892358,19659370
3018358499,19659370
19659370,55247494
55247494,19659370
19659370,1848037524
19659370,817382
19659370,2288970024
157920406,19659370
19659370,44196397
19659370,28165790
19659370,4742002531
4742002531,19659370
716643191072628736,19659370
19659370,1241258612
1241258612,19659370
19659370,5734242
1053292116,19659370
3130629970,19659370
4883900442,19659370
19659370,265422963
383365753,19659370
19659370,78269397
78269397,19659370
2190753169,19659370
19659370,16868154
16868154,19659370
19659370,15192127
15192127,19659370
19659370,1106015165969924096
1106015165969924096,19659370
19659370,129746032
19659370,23666107
458399248,19659370
19659370,831503418376146946
19659370,3107826244
940441783,19659370
1162690737516863494,19659370
19659370,15376357
19659370,14697496
19659370,17015268
17015268,19659370
19659370,145637517
1153956919,19659370
19659370,9632312
19659370,852083180182147072
852083180182147072,19659370
833597084167122945,19659370
19659370,2676313880
2538081673,19659370
19659370,3234931837
920700510306529280,19659370
248721193,19659370
19659370,2717694091
219293337,19659370
159421391,19659370
19659370,762093631
19659370,15573348
15573348,19659370
19659370,116655482
19659370,1086604922
908589103737950208,19659370
19659370,467004982
19659370,53079180
53079180,19659370
19659370,216939636
19659370,49438224
2315608478,19659370
19659370,743856512
743856512,19659370
19659370,114485232
19659370,4901700861
19659370,3147145875
3147145875,19659370
34999723,19659370
19659370,4329329968
19659370,2240528131
19659370,916364161415892992
19659370,1111730640762875907
19659370,14451127
14451127,19659370
199597043,19659370
19659370,4353971122
4353971122,19659370
19659370,778607
778607,19659370
19659370,568542838
568542838,19659370
240316759,19659370
917259707236208640,19659370
19659370,1308409993213943809
264103867,19659370
19659370,3233792564
3233792564,19659370
19659370,26014256
19659370,106023728
106023728,19659370
585390634,19659370
19659370,941478255789457408
941478255789457408,19659370
761072228028911618,19659370
19659370,54875928
54875928,19659370
19659370,485865743
485865743,19659370
73001375,19659370
323616054,19659370
19659370,49719781
49719781,19659370
549833457,19659370
19659370,557553364
557553364,19659370
19659370,1891806212
19659370,21991908
19659370,15169938
19659370,16134540
19659370,2494212979
19659370,234321271
234321271,19659370
19659370,3008322017
19659370,17503180
771363829556977665,19659370
19659370,118748199
19659370,24046380
24046380,19659370
253609062,19659370
19659370,33993797
33993797,19659370
2228576226,19659370
19659370,203250712
203250712,19659370
19659370,15156540
19659370,884180960
1136467769199910912,19659370
19659370,16895951
19659370,581406453
581406453,19659370
19659370,1734575215
1734575215,19659370
219728708,19659370
19659370,17078917
19659370,16507835
16507835,19659370
19659370,59481357
59481357,19659370
19659370,37788263
19659370,17839109
17839109,19659370
748315519674048512,19659370
1851621,19659370
1040124415151726592,19659370
153327232,19659370
19659370,201194687
19659370,221460294
16621479,19659370
19659370,25864331
25864331,19659370
19659370,31442869
19659370,947311503216066560
947311503216066560,19659370
19659370,109613064
109613064,19659370
19659370,547871798
547871798,19659370
19659370,1936953062
1936953062,19659370
19659370,179797676
19659370,13235832
19659370,48677032
19659370,637087464
637087464,19659370
19659370,79703784
19659370,47562075
19659370,458079606
19659370,3246646347
2974389209,19659370
19659370,263483174
19659370,6365342
2832694608,19659370
19659370,15808647
114738098,19659370
19659370,19888273
19888273,19659370
917421341359464450,19659370
924426975330160641,19659370
19659370,793483735018504192
793483735018504192,19659370
19659370,16596200
19659370,734735999029383168
906922846412267521,19659370
19659370,39237580
19659370,431764698
431764698,19659370
19659370,133806972
19659370,18485339
19659370,1551361069
19659370,402875257
19659370,2322434384
19659370,4786709654
19659370,497181885
19659370,476700973
37715152,19659370
19659370,17855686
19659370,2435317801
2435317801,19659370
19659370,15378449
15378449,19659370
19659370,14301911
44860754,19659370
19659370,1101500498564313090
19659370,2502662672
19659370,94642927
19659370,17383073
17383073,19659370
